id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
airbnb599232358a46554f807aef067971,https://www.airbnb.es/rooms/16108218,-0.3827939996608342,39.47453533769819,2017-08-15 17:08:57.348000,2018-09-22 07:07:01.750000,airbnb46961953,entire_home,2,2,11,2,
airbnb599232358a46554f807aef067972,https://www.airbnb.es/rooms/17694681,-0.38274824196338897,39.47449484684457,2017-08-15 17:08:32.156000,2018-06-02 22:54:59.663000,airbnb120545130,private_room,2,6,9,1,36
airbnb599232358a46554f807aef067973,https://www.airbnb.es/rooms/5671761,-0.38276836251064034,39.474563080031984,2018-04-24 14:11:54.265000,2018-06-02 22:53:50.905000,airbnb29406298,entire_home,4,5,2,2,117
airbnb599232358a46554f807aef067974,https://www.airbnb.es/rooms/13954202,-0.3826835191809105,39.47458452449094,2017-08-15 17:08:49.163000,2018-06-02 22:55:19.290000,airbnb67294915,entire_home,3,4,13,2,78
airbnb599232358a46554f807aef067975,https://www.airbnb.es/rooms/13237427,-0.38275380047699664,39.47476708950728,2017-08-15 17:08:36.058000,2018-09-22 21:07:02.504000,airbnb27517210,entire_home,4,8,114,1,
airbnb599232358a46554f807aef067976,https://www.airbnb.es/rooms/23316034,-0.3825239769475907,39.474573167100125,2018-04-24 14:11:00.359000,2018-06-02 22:53:06.460000,airbnb431741,entire_home,2,4,6,4,59
airbnb599232358a46554f807aef067977,https://www.airbnb.es/rooms/5431449,-0.38262901050648657,39.47434750733321,2017-08-15 17:08:57.348000,2017-10-11 01:23:41.629000,airbnb28173844,private_room,1,2,1,1,25
airbnb599232358a46554f807aef067978,https://www.airbnb.es/rooms/19151235,-0.3826207608244786,39.474361357682255,2017-08-15 17:08:53.283000,2017-10-11 01:23:07.734000,airbnb99033745,private_room,1,2,5,1,30
airbnb599232358a46554f807aef067979,https://www.airbnb.es/rooms/17171506,-0.3825623116055696,39.47429199732759,2017-08-15 17:08:44.859000,2017-10-11 01:20:50.154000,airbnb28604409,entire_home,2,4,10,2,59
airbnb599232358a46554f807aef067980,https://www.airbnb.es/rooms/19235640,-0.38246947019522515,39.47446614217596,2017-08-15 17:08:36.057000,2018-06-02 22:53:54.497000,airbnb15257842,entire_home,2,4,43,2,75
airbnb599232358a46554f807aef067981,https://www.airbnb.es/rooms/12600738,-0.38206318521321386,39.474216761145925,2018-04-24 12:06:36.481000,2018-06-02 22:54:48.057000,airbnb68080927,entire_home,3,6,12,4,83
airbnb599232358a46554f807aef067982,https://www.airbnb.es/rooms/13345033,-0.38197905161322004,39.47420590128907,2018-04-24 12:06:36.481000,2018-06-02 22:53:12.813000,airbnb32219961,entire_home,0,3,4,1,82
airbnb599232358a46554f807aef067983,https://www.airbnb.es/rooms/17184108,-0.382025952647503,39.474517560108424,2018-04-24 12:06:34.022000,2018-06-02 22:54:32.904000,airbnb68080927,entire_home,4,10,2,3,156
airbnb599232358a46554f807aef067984,https://www.airbnb.es/rooms/3485525,-0.3822185780807699,39.474538755325426,2018-04-24 12:06:34.022000,2018-05-13 10:52:13.054000,airbnb106954,entire_home,0,4,24,12,92
airbnb599232358a46554f807aef067985,https://www.airbnb.es/rooms/11618679,-0.38215816121485885,39.474848891930485,2018-04-24 14:11:08.627000,2018-05-13 08:03:12.963000,airbnb14481503,entire_home,0,2,29,2,111
airbnb599232358a46554f807aef067986,https://www.airbnb.es/rooms/14198448,-0.382,39.475,2017-08-15 17:08:36.057000,2018-06-02 22:54:10.382000,airbnb77751658,entire_home,1,2,75,2,73
airbnb599232358a46554f807aef067987,https://www.airbnb.es/rooms/11182135,-0.382,39.475,2018-04-24 12:06:38.794000,2018-06-02 23:03:18.432000,airbnb10198019,entire_home,0,4,2,1,48
airbnb599232358a46554f807aef067988,https://www.airbnb.es/rooms/27974417,-0.382,39.475,2018-08-27 07:48:23.174000,2018-09-22 21:10:07.947000,airbnb211275563,entire_home,2,4,0,1,
airbnb599232358a46554f807aef067989,https://www.airbnb.es/rooms/27974420,-0.382,39.475,2018-08-27 07:48:23.174000,2018-09-22 21:10:13.885000,airbnb211275563,entire_home,3,6,0,1,
airbnb599232358a46554f807aef067990,https://www.airbnb.es/rooms/11781539,-0.3821046925863608,39.475112558586254,2018-04-24 14:11:16.505000,2018-09-22 21:08:19.828000,airbnb62733714,entire_home,3,6,72,2,
