"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2009";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
74;"Cases de Bàrcena";17;174;75;552,76;566,93;405,33;424,24;413,22;411,11;390,11;427,33;394,37;391,3;400;466,1;484,59;404,96
75;"Mauella";17;175;75;287,88;281,25;266,67;275,86;285,71;307,69;326,92;361,7;361,7;333,33;355,56;340;310,34;473,68
76;"Massarrojos";17;176;75;429,35;416,07;350,37;350,84;367,75;368,98;375,55;385,97;399,66;412,94;429,72;435;442,98;440,75
77;"Borbotó";17;177;75;531,54;534,85;508,04;507,44;518,52;523,68;533,52;515,28;518,72;520,34;513,29;520,78;508,8;510,9
78;"Benimàmet";18;181;75;447,27;439,79;434,82;428,68;430,61;424,81;425,07;428,67;435,52;438,49;437,86;436,78;448,83;452,41
79;"Beniferri";18;182;75;526,14;490,49;401,82;393,21;372,87;373,56;357,94;372,96;382,27;388,07;386,67;409,4;413,65;406,49
80;"el Forn d'Alcedo";19;191;75;490,57;486,1;480,42;502,35;512,12;508,03;502,43;507;511,18;520,39;506,03;509,48;507,14;505,07
81;"el Castellar-l'Oliverar";19;192;75;524,36;519,91;517,45;515,51;512,25;510,24;508,88;505,74;513,7;519,29;524,26;528,12;528,51;533,83
82;"Pinedo";19;193;75;503,62;504,39;476,12;463,24;479,15;481,55;488,58;488,68;515,99;529,94;534,97;528,75;534,22;540,24
83;"el Saler";19;194;75;529,11;522,74;434,37;430,03;433,12;431,38;450,56;463,03;447,9;453,42;443,36;441,96;440,6;460,69
84;"el Palmar";19;195;75;545,81;550,2;560,48;540,11;533,07;533,86;532;525,36;537,55;536,27;544,37;530,64;551,37;534,73
85;"el Perellonet";19;196;75;485,36;485,59;349,46;364,35;382,99;390,13;403,28;384,62;386,64;404,33;411,47;419,63;405,31;411,96
86;"la Torre";19;197;75;463,81;468,62;454,49;454,81;449,23;449,45;463,57;445,4;442,84;465,85;471,24;467,13;472,73;473,76
87;"Faitanar";19;198;75;542,58;579,81;1104,05;314,38;293,88;293,19;197,67;289,07;306,31;252,54;263,32;236,1;258,49;264,32
