;;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
Ind_Esp;;% Viviendas con valor catastral mayor de 48.000 euros;% Viviendas con valor catastral menor de 18.000 euros;Número de viviendas;Porcentaje de viviendas con menos de 10 años;Porcentaje de viviendas con menos de 5 años;Porcentaje de viviendas con más de 50 años;Porcentaje de viviendas de menos de 60 metros cuadrados;Porcentaje de viviendas de menos de 80 metros cuadrados;Porcentaje de viviendas de más de 120 metros cuadrados;Superficie construida media de las viviendas;Superficie de aparcamiento por turismo;Superficie de aparcamiento por vivienda;Superficie total de aparcamientos;Superficie total de solares;Valor catastral medio por metro cuadrado;Valor catastral medio por vivienda
DTBA;Year;;;;;;;;;;;;;;;;
63;2021;88,51;0,07;2994;0;0;68,97;3,44;5,54;71,21;168,64;21,54;23,76;71137;259;633,58;111304,72
63;2022;88,51;0,07;2994;0;0;68,97;3,44;5,58;71,18;168,59;;23,76;71137;259;633,37;111212,24
64;2018;83,06;0,07;1464;0;0;0,14;2,8;6,22;45,9;125,07;25,71;23,53;34452;3218;517,14;65222,28
64;2019;84,03;0,07;1465;0;0;11,6;2,8;5,8;45,94;124,99;25,74;23,12;33878;3218;532,59;67133,08
64;2020;90,85;0,07;1465;0;0;20,89;2,8;5,8;45,94;124,99;26,43;23,12;33878;3218;548,33;69123,35
64;2021;90,85;0,07;1465;0;0;28,05;2,8;5,8;45,94;124,99;26,91;23,12;33878;3218;548,33;69123,35
64;2022;90,87;0,07;1467;0;0;38,92;2,79;6,2;45,94;124,89;;23,09;33878;3218;548,41;69081,71
71;2018;19,02;9,26;13085;2,37;0,15;50,27;2,37;24,78;19,77;100,2;17,3;13,84;181061;54495;340,52;35130,07
71;2019;20,68;7,93;13087;1,08;0,15;51,44;2,37;24,78;19,78;100,2;17,43;13,99;183064;54435;350,74;36185,71
71;2020;23,31;7,07;13138;1,22;0,53;56,22;2,36;24,7;19,93;100,29;17,6;14;183868;55255;361,52;37329,88
